100
2
500
50 50
10 20 1
20 30 1
30 40 1
40 50 1
50 60 1
15 25 2
25 35 2
35 45 2
45 55 2
55 65 2
16 26 1
26 36 1
36 46 1
46 56 1
56 66 1
17 27 2
27 37 2
37 47 2
47 57 2
57 67 2
18 28 1
28 38 1
38 48 1
48 58 1
58 68 1
19 29 2
29 39 2
39 49 2
49 59 2
59 69 2
20 30 1
30 40 1
40 50 1
50 60 1
60 70 1
21 31 2
31 41 2
41 51 2
51 61 2
61 71 2
22 32 1
32 42 1
42 52 1
52 62 1
62 72 1
23 33 2
33 43 2
43 53 2
53 63 2
63 73 2
24 34 1
34 44 1
44 54 1
54 64 1
64 74 1
25 35 2
35 45 2
45 55 2
55 65 2
65 75 2
26 36 1
36 46 1
46 56 1
56 66 1
66 76 1
27 37 2
37 47 2
47 57 2
57 67 2
67 77 2
28 38 1
38 48 1
48 58 1
58 68 1
68 78 1
29 39 2
39 49 2
49 59 2
59 69 2
69 79 2
30 40 1
40 50 1
50 60 1
60 70 1
70 80 1
31 41 2
41 51 2
51 61 2
61 71 2
71 81 2
32 42 1
42 52 1
52 62 1
62 72 1
72 82 1
33 43 2
43 53 2
53 63 2
63 73 2
73 83 2
34 44 1
44 54 1
54 64 1
64 74 1
74 84 1
